Date,Roost,Type,Bats,Year
5/23/2018,18R4,Bat house,10,2018
5/24/2018,18R6,Telephone pole,3,2018
5/24/2018,18R5,Tree,3,2018
6/12/2018,18R4,Bat house,7,2018
6/14/2018,18R7,Tree,2,2018
6/15/2018,18R4,Bat house,7,2018
6/16/2018,18R8,Tree,7,2018
6/17/2018,18R15,Tree,1,2018
5/24/2019,19R1,Tree,3,2019
6/22/2019,19R3,Telephone pole,7,2019
6/23/2019,19R3,Telephone pole,9,2019
6/25/2019,19R4,Tree,2,2019
6/26/2019,19R5,Tree,2,2019
6/27/2019,19R6,Tree,1,2019
7/1/2019,19R5,Tree,1,2019
7/2/2019,18R6,Telephone pole,9,2019
7/30/2019,19R8,Tree,2,2019
7/31/2019,19R9,Tree,2,2019
